Task ID,Task Name,Job Id,Source,Frames,Absolute Frame,Relative Frame,XTL,YTL,XBR,YBR,Code,Issue
138,Task1,133,1690279852.mp4,730,54,54,29.87,506.88,190.69,554.96,83/2789,
138,Task1,133,1690279852.mp4,730,55,55,65.26,504.87,225.50,552.95,83/2789,
138,Task1,133,1690279852.mp4,730,56,56,131.98,503.67,291.63,551.76,83/2789,
138,Task1,133,1690279852.mp4,730,57,57,198.69,502.48,357.76,550.57,83/2789,
138,Task1,133,1690279852.mp4,730,58,58,241.62,498.68,400.10,546.77,83/2789,
138,Task1,133,1690279852.mp4,730,59,59,302.70,496.68,460.59,544.77,83/2789,
138,Task1,133,1690279852.mp4,730,60,60,363.79,494.68,521.09,542.78,83/2789,
138,Task1,133,1690279852.mp4,730,61,61,424.87,492.68,581.58,540.78,83/2789,
138,Task1,133,1690279852.mp4,730,62,62,485.95,490.69,642.08,538.78,83/2789,
138,Task1,133,1690279852.mp4,730,63,63,547.03,488.69,702.57,536.78,83/2789,
138,Task1,133,1690279852.mp4,730,64,64,608.12,486.69,763.07,534.79,83/2789,
138,Task1,133,1690279852.mp4,730,65,65,679.01,484.69,833.37,532.79,83/2789,
138,Task1,133,1690279852.mp4,730,66,66,749.91,482.69,903.68,530.79,83/2789,
138,Task1,133,1690279852.mp4,730,67,67,791.36,480.69,944.55,528.80,83/2789,
138,Task1,133,1690279852.mp4,730,68,68,868.80,478.69,1021.40,526.80,83/2789,
138,Task1,133,1690279852.mp4,730,69,69,940.78,475.51,1093.16,523.62,83/2789,
138,Task1,133,1690279852.mp4,730,70,70,987.18,474.08,1139.33,522.19,83/2789,
138,Task1,133,1690279852.mp4,730,71,71,1056.40,471.83,1208.33,519.94,83/2789,
138,Task1,133,1690279852.mp4,730,72,72,1125.63,469.58,1277.34,517.69,83/2789,
138,Task1,133,1690279852.mp4,730,73,73,1180.37,468.30,1331.85,516.41,83/2789,
138,Task1,133,1690279852.mp4,730,74,74,1235.10,467.02,1386.36,515.12,83/2789,
138,Task1,133,1690279852.mp4,730,75,75,1289.83,465.74,1440.87,513.84,83/2789,
138,Task1,133,1690279852.mp4,730,76,76,1344.57,464.46,1495.38,512.56,83/2789,
138,Task1,133,1690279852.mp4,730,77,77,1399.30,463.17,1549.89,511.28,83/2789,
138,Task1,133,1690279852.mp4,730,78,78,1454.03,461.89,1604.40,510.00,83/2789,
138,Task1,133,1690279852.mp4,730,79,79,1508.77,460.61,1658.91,508.72,83/2789,
138,Task1,133,1690279852.mp4,730,80,80,1563.50,459.33,1713.42,507.43,83/2789,
138,Task1,133,1690279852.mp4,730,81,81,1618.23,458.05,1767.92,506.15,83/2789,
138,Task1,133,1690279852.mp4,730,82,82,1672.97,456.76,1822.43,504.87,83/2789,
138,Task1,133,1690279852.mp4,730,83,83,1727.70,455.48,1876.94,503.59,83/2789,
138,Task1,133,1690279852.mp4,730,149,149,32.67,510.55,194.58,554.70,83/2789,
138,Task1,133,1690279852.mp4,730,150,150,85.01,508.09,246.92,552.25,83/2789,
138,Task1,133,1690279852.mp4,730,151,151,137.34,505.64,299.25,549.80,83/2789,
138,Task1,133,1690279852.mp4,730,152,152,204.07,503.02,365.98,547.18,83/2789,
138,Task1,133,1690279852.mp4,730,153,153,270.79,500.41,432.70,544.57,83/2789,
138,Task1,133,1690279852.mp4,730,154,154,337.52,497.79,499.43,541.95,83/2789,
138,Task1,133,1690279852.mp4,730,155,155,404.24,495.18,566.15,539.33,83/2789,
138,Task1,133,1690279852.mp4,730,156,156,470.97,492.56,632.88,536.72,83/2789,
138,Task1,133,1690279852.mp4,730,157,157,532.88,490.22,694.79,534.38,83/2789,
138,Task1,133,1690279852.mp4,730,158,158,594.80,487.89,756.70,532.04,83/2789,
138,Task1,133,1690279852.mp4,730,159,159,656.71,485.55,818.62,529.71,83/2789,
138,Task1,133,1690279852.mp4,730,160,160,718.62,483.21,880.53,527.37,83/2789,
138,Task1,133,1690279852.mp4,730,161,161,780.53,480.88,942.44,525.03,83/2789,
138,Task1,133,1690279852.mp4,730,162,162,842.45,478.54,1004.36,522.70,83/2789,
138,Task1,133,1690279852.mp4,730,163,163,904.36,476.20,1066.27,520.36,83/2789,
138,Task1,133,1690279852.mp4,730,164,164,973.05,474.90,1134.96,519.05,83/2789,
138,Task1,133,1690279852.mp4,730,165,165,1041.74,473.59,1203.64,517.74,83/2789,
138,Task1,133,1690279852.mp4,730,166,166,1110.43,472.28,1272.33,516.44,83/2789,
138,Task1,133,1690279852.mp4,730,167,167,1179.11,470.97,1341.02,515.13,83/2789,
138,Task1,133,1690279852.mp4,730,168,168,1247.80,469.66,1409.71,513.82,83/2789,
138,Task1,133,1690279852.mp4,730,169,169,1306.68,468.03,1468.59,512.18,83/2789,
138,Task1,133,1690279852.mp4,730,170,170,1365.55,466.39,1527.46,510.55,83/2789,
138,Task1,133,1690279852.mp4,730,171,171,1424.43,464.76,1586.34,508.91,83/2789,
